,"tp53, akt1, ikbkb: (000, 001, 010, 011, 100, 101, 110, 111)"
1596,00001000
1597,00001110
1598,00001100
1599,00000000
1600,00000000
1601,00001010
1602,00000000
1603,00000000
1604,00000000
1605,00001010
1606,11101110
1607,11001110
1608,00001000
1609,00000000
1610,00001000
1611,10001100
1612,00000000
1613,00001000
1614,10101010
1615,10101110
1616,00001000
1617,00001000
1618,00000000
1619,00001000
1620,00001000
1621,10001110
1622,00001000
1623,00000000
1624,00001000
1625,00001010
1626,00000000
1627,00000000
1628,00001010
1629,10001110
1630,10001000
1631,10001110
1632,00000000
1633,00000000
1634,00001000
1635,11101110
1636,00000000
1637,00000000
1638,11101110
1639,00000000
1640,00000000
1641,11001100
1642,00000000
1643,00001100
1644,10001100
1645,10001110
1646,00001000
1647,00001100
1648,00000000
1649,00001000
1650,00000000
1651,00001000
1652,00001100
1653,00000000
1654,00000000
1655,00000000
1656,10001110
1657,00001100
1658,00000000
1659,00001000
1660,11001100
1661,10001100
1662,10001110
1663,00000000
1664,00001100
1665,10001100
1666,00000000
1667,10001000
1668,00000000
1669,10001000
1670,11001110
1671,10001110
1672,00000000
1673,10001110
1674,10101110
1675,00000000
1676,10001000
1677,00001110
1678,10001000
1679,10101110
1680,00000000
1681,00001110
1682,00000000
1683,00000000
1684,00000000
1685,00001110
1686,00000000
1687,10001110
1688,10001010
1689,10001010
1690,00000000
1691,00001110
1692,00001110
1693,00001010
1694,00001010
1695,00001000
1696,00000000
1697,00000000
1698,00000000
1699,00000000
1700,10101110
1701,10001110
1702,00000000
1703,00000000
1704,10001100
1705,11001110
1706,10001110
1707,00001100
1708,00000000
1709,00001010
1710,00000000
1711,00001000
1712,00000000
1713,00000000
1714,00000000
1715,00000000
1716,00001000
1717,00000000
1718,00001010
1719,00000000
1720,00000000
1721,00000000
1722,10001110
1723,10001110
1724,00000000
1725,00001110
1726,00001110
1727,00001000
1728,00000000
1729,11001110
1730,11101110
1731,10101010
1732,11001110
1733,10101110
1734,10001110
1735,00001110
1736,00000000
1737,00000000
1738,10001110
1739,10001010
1740,00000000
1741,00001110
1742,00001100
1743,10101110
1744,00000000
1745,00000000
1746,00001000
1747,00001100
1748,00001010
1749,00000000
1750,10101010
1751,10001110
1752,00001000
1753,00000000
1754,00001000
1755,00001010
1756,10001010
1757,10001110
1758,10101110
1759,11001110
1760,00000000
1761,10101110
1762,10001100
1763,11001100
1764,00000000
1765,00000000
1766,00000000
1767,11001110
1768,00000000
1769,10001110
1770,00000000
1771,00001000
1772,00000000
1773,10001000
1774,10001110
1775,10001110
1776,00000000
1777,10001110
1778,00001000
1779,00001100
1780,00000000
1781,00001010
1782,10101110
1783,00000000
1784,00000000
1785,10001110
1786,00001010
1787,00001010
1788,00000000
1789,00001000
1790,00000000
1791,10001000
1792,10001110
1793,00001000
1794,00001000
1795,00001110
1796,00001000
1797,00000000
1798,11001110
1799,10001110
1800,00000000
1801,00000000
1802,00000000
1803,00000000
1804,10001010
1805,10001010
1806,00000000
1807,00001000
1808,00000000
1809,00001000
1810,00000000
1811,00000000
1812,10001110
1813,00001110
1814,11101110
1815,00001000
1816,00000000
1817,10101110
1818,00000000
1819,10001110
1820,11001110
1821,00000000
1822,10001110
1823,00000000
1824,00000000
1825,10001010
1826,00001010
1827,00000000
1828,00000000
1829,11001110
1830,10101110
1831,00000000
1832,00000000
1833,00001010
1834,00001010
1835,10001010
1836,11001110
1837,00000000
1838,00000000
1839,00000000
1840,00000000
1841,10001110
1842,00000000
1843,00001110
1844,00000000
1845,11001110
1846,00001000
1847,00000000
1848,11001110
1849,00000000
1850,10001100
1851,10001100
1852,00001000
1853,00001000
1854,00000000
1855,10001100
1856,10001000
1857,00001000
1858,00000000
1859,11101110
1860,00001000
1861,00000000
1862,11001110
1863,00000000
1864,00000000
1865,00000000
1866,00000000
1867,10001110
1868,00000000
1869,10001000
1870,10001000
1871,00001110
1872,00001000
1873,00000000
1874,10101110
1875,00001010
1876,00000000
1877,00000000
1878,00001000
1879,10001110
1880,10001110
1881,10001110
1882,00001110
1883,00000000
1884,00000000
1885,00000000
1886,10001110
1887,00001000
1888,00000000
1889,00000000
1890,00000000
1891,00000000
1892,00000000
1893,00000000
1894,00001000
1895,00000000
1896,00000000
1897,10101110
1898,00000000
1899,00000000
1900,10001000
1901,10001010
1902,10101110
1903,10001000
1904,00000000
1905,11101110
1906,00001010
1907,00000000
1908,11001110
1909,00000000
1910,00001000
1911,00001000
1912,10001000
1913,10001010
1914,00000000
1915,11101110
1916,10001110
1917,10001110
1918,00000000
1919,00001000
1920,00000000
