Time	TH	ErrTH	H	Prob[<nil>]	ErrProb[<nil>]	Prob[C]	ErrProb[C]	Prob[A--C]	ErrProb[A--C]	Prob[A--B--C]	ErrProb[A--B--C]	Prob[B--C]	ErrProb[B--C]	
1.7600	0.0026	0.0005	0.4586	0.935671	0.003468	0.005990	0.001068	0.030619	0.002436	0.011801	0.001527	0.015918	0.001761	
1.7700	0.0030	0.0005	0.4571	0.936115	0.003456	0.006745	0.001138	0.030473	0.002426	0.011701	0.001504	0.014965	0.001700	
1.7800	0.0026	0.0005	0.4513	0.936907	0.003437	0.005877	0.001063	0.030399	0.002423	0.011581	0.001507	0.015236	0.001727	
1.7900	0.0028	0.0005	0.4512	0.937041	0.003434	0.006361	0.001111	0.030305	0.002423	0.011423	0.001495	0.014869	0.001701	
1.8000	0.0028	0.0005	0.4468	0.937852	0.003412	0.006427	0.001111	0.029832	0.002405	0.011257	0.001485	0.014631	0.001687	
1.8100	0.0027	0.0005	0.4398	0.939043	0.003377	0.006127	0.001067	0.029348	0.002384	0.011371	0.001491	0.014111	0.001653	
1.8200	0.0026	0.0005	0.4354	0.939751	0.003363	0.005858	0.001071	0.029000	0.002373	0.010903	0.001454	0.014488	0.001677	
1.8300	0.0024	0.0005	0.4316	0.940200	0.003350	0.005440	0.001025	0.029159	0.002378	0.010198	0.001413	0.015002	0.001712	
1.8400	0.0023	0.0004	0.4273	0.940833	0.003332	0.005217	0.001000	0.029067	0.002374	0.009751	0.001384	0.015131	0.001718	
1.8500	0.0021	0.0004	0.4218	0.941570	0.003315	0.004812	0.000967	0.029200	0.002381	0.009154	0.001338	0.015265	0.001726	
1.8600	0.0021	0.0004	0.4199	0.941926	0.003307	0.004887	0.000970	0.028990	0.002371	0.009010	0.001332	0.015187	0.001723	
1.8700	0.0021	0.0004	0.4171	0.942441	0.003289	0.004844	0.000956	0.028749	0.002362	0.009251	0.001351	0.014715	0.001698	
1.8800	0.0020	0.0004	0.4138	0.943020	0.003276	0.004561	0.000932	0.028322	0.002344	0.009550	0.001369	0.014546	0.001685	
